rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.4,10,180,42.42640687119285,died,4500,44,0.012590187590187589,0.01311674074493389,0.055844155844155835,0.03282828282828283,104.45454545454545,1.7309841901771497,0.24230532965726354,0.9730645472354346,73.8233058129786,0.022678029908043847
0.1,0.4,12,180,42.42640687119285,died,4000,39,0.014163614163614162,0.014647344281178603,0.06646316646316645,0.03361823361823363,103.02564102564102,1.758959723297203,0.24340524927182727,0.9432944981442433,65.75148801712349,0.024063075978834496
0.1,0.4,13,180,42.42640687119285,died,4500,44,0.011796536796536795,0.013049661945265738,0.055230880230880214,0.03295454545454546,99.13636363636364,1.8317616416870472,0.24399478905643782,0.9615255079612361,72.77810703510382,0.018483912929982922
0.1,0.4,14,180,42.42640687119285,died,4000,39,0.01241351241351241,0.015416741773959228,0.062189662189662175,0.03333333333333335,97.8974358974359,1.853965962126366,0.24879695505231572,0.9424979921439387,66.60884955545615,0.022548310374946087
0.1,0.4,18,180,42.42640687119285,died,3000,29,0.011275314723590583,0.017761489456269076,0.06447728516694032,0.021455938697318017,105.55172413793103,1.721098665211091,0.2475257421880384,0.977841444368935,50.40403488939255,0.027623052413527447
0.1,0.4,15,180,42.42640687119285,died,3500,34,0.013585434173669465,0.015265213235037225,0.061484593837535004,0.027287581699346405,105.61764705882354,1.7164521010800164,0.24830174747997602,0.945378777164432,56.84877871606398,0.022445954520747328
0.1,0.4,16,180,42.42640687119285,died,4000,39,0.013268213268213267,0.014125921840851272,0.06284086284086282,0.03290598290598292,108.94871794871794,1.6583891540481492,0.2498042486923469,0.9662770443884557,62.96995173054347,0.02660119613975126
0.1,0.4,17,180,42.42640687119285,died,4500,44,0.014105339105339103,0.01354088016634919,0.06201298701298699,0.032702020202020204,102.20454545454545,1.7691969947012913,0.2325296126099522,0.9051606640046826,74.00053653819091,0.019947736019125657
0.1,0.4,19,180,42.42640687119285,died,4000,39,0.016239316239316237,0.01786084672150674,0.07606837606837605,0.033048433048433065,106.61538461538461,1.6947791262754823,0.24097777943335777,0.9154783282859155,62.42420223635953,0.027682646581272462
0.1,0.8,0,180,42.42640687119285,died,4000,39,0.01648351648351648,0.01930798602811754,0.07342287342287342,0.02763532763532763,105.74358974358974,1.7141194547571992,0.24971671590920672,0.941971946396986,64.49314916204149,0.031116435878584765
0.1,0.8,2,180,42.42640687119285,died,3500,34,0.010597572362278243,0.016254342566483213,0.052054154995331454,0.027450980392156862,97.94117647058823,1.861819853452291,0.2427564529632176,0.9458795477874334,57.61314582184365,0.027387914587524168
0.1,0.8,1,180,42.42640687119285,died,4500,44,0.015187590187590187,0.019068246507766846,0.07467532467532467,0.03005050505050504,101.27272727272727,1.7955396307550329,0.24656545173545752,0.9264491150321625,70.95582386361453,0.028000505626064907
0.1,0.8,4,180,42.42640687119285,died,3500,34,0.014379084967320257,0.020062181652023937,0.06890756302521008,0.032189542483660134,98.11764705882354,1.8546223978907488,0.2567834850020733,0.927230000955292,58.72640965142568,0.03192381656373651
0.1,0.8,3,180,42.42640687119285,died,4000,39,0.012006512006512003,0.01923345592083921,0.06528286528286528,0.03290598290598292,98.92307692307692,1.837811550824164,0.24628284027091232,0.9572951477676952,65.09313436780617,0.025339593075495097
0.1,0.8,6,180,42.42640687119285,died,3500,34,0.017366946778711482,0.021441419262853208,0.08636788048552753,0.038888888888888896,95.82352941176471,1.904468643114394,0.25203170479665776,0.9165473402373209,58.41475658115685,0.02973581744049194
0.1,0.8,5,180,42.42640687119285,died,4000,39,0.020594220594220593,0.022982891937663095,0.08665038665038664,0.034188034188034205,96.61538461538461,1.8867204751811277,0.25429365517613733,0.9417282977770287,66.36510948325912,0.029750727880047602
0.1,0.8,8,180,42.42640687119285,died,4000,39,0.018477818477818476,0.020558722777407994,0.08140008140008138,0.038176638176638196,103.38461538461539,1.757801175532315,0.23626805828396913,0.9474423547560088,62.15788161002842,0.02975001738127549
0.1,0.8,7,180,42.42640687119285,died,4500,44,0.018831168831168827,0.019864869609148864,0.08279220779220778,0.033080808080808086,105.9090909090909,1.7124267290885427,0.24406009744176274,0.9504001597764847,71.74437519742,0.029956121888135765
0.1,0.8,12,180,42.42640687119285,died,3500,34,0.012464985994397756,0.019506056246368347,0.07040149393090568,0.03807189542483661,94.8529411764706,1.9234408941958951,0.25384050084741305,0.9359709708139382,59.536806826451965,0.029363622994411264
0.1,0.8,9,180,42.42640687119285,died,5000,49,0.016650469711694198,0.017438601119682182,0.06916099773242629,0.030385487528344666,104.3061224489796,1.7364330995558122,0.2549608915438202,0.9502580240860412,80.70184454595794,0.025451042085048347
0.1,0.8,10,180,42.42640687119285,died,5500,54,0.011169900058788944,0.013489233923366383,0.04738389182833626,0.033641975308641985,97.5925925925926,1.8566701630962588,0.255907785987601,0.9512686270548337,91.77151994724909,0.01959631797836325
